0	1	又到一年下雪季，一切还是老样子！可惜家里没有红酒了，这样的天气,我其实特别想喝点红酒,来庆祝这场雪。喝点小酒也能让自己晕晕乎乎，那种感觉简直太棒了！ 石家庄	0
1	0	#90后该不该攒钱来改变现状#事实证明越穷越爱花，比如我自己	0
2	6	对于肖战来说，不同阶段听《未完成》这首歌总有不同的感悟，第一次听，年少的肖战对即将到来的青年时代充满了憧憬。戳视频，看看肖战90后歌单跟你的有几首重合？#第一批90后30岁倒计时# #90后该不该攒钱来改变现状# 央视网青年的秒拍视频	0
3	3	#年轻人该不该延迟享受#延迟消费偏好下降，意味着中国人不爱存钱、爱花钱了。90后正成为消费主力军#90后该不该攒钱来改变现状#	0
4	0	#90后该不该攒钱来改变现状#我觉得我的财运真的有毒，投什么亏什么导致我真的不会理财诶……	0
5	0	#90后该不该攒钱来改变现状#有孩子有家庭了会自觉考虑这一步，没结婚之前我是没这种想法，只顾自己开心	0
6	0	【男子约“开黑”网友见面 一觉醒来发现手机和钱都没了】郑州的谷先生在打游戏的时候认识了网友娄某，“我俩经常一起组队，配合很默契，聊得很投机，玩的时间长，就没事想约出来聊聊，就没有想那么多。”本想通过这次见面，俩人也能成为生活中的好朋友，没想到这次见面，让谷先生朋友没做成，还吃了个哑巴亏。回到酒店睡了一觉后，他醒来发现不光手机丢了，账户里的钱还被转走将近三万。目前，娄某已被刑拘，钱财全部追回。#第一批90后30岁倒计时##90后该不该攒钱来改变现状# http://t.cn/Ai1qEizL	0
7	1	#90后该不该攒钱来改变现状#最后小刘发现，兼职家教没存到一毛钱，真的只是刺激了我的消费上限	0
8	0	#90后该不该攒钱来改变现状#恋爱有时候就像是一种修行，有的人很幸运能从一开始就遇见那个可以走到白头的人，但是对于大多数的我们来讲，感情中更多的是失去和在失去中学会成长。	0
9	116	#90后该不该攒钱来改变现状##第一批90后30岁倒计时#90后每个月收入多少才正常，看看大家晒的工资,你的工资呢？ 感觉我给大家拖后腿了。。。。	0
10	0	#90后该不该攒钱来改变现状#努力就对了	0
11	557	#90后该不该攒钱来改变现状#30岁是成家立业的年级，据说90后都变成了月光族，现在的你有没有存款呢？#第一批90后30岁倒计时# 抚州发布的微博投票	0
12	0	【写购物清单可以省钱？快速存钱的小技巧】#90后该不该攒钱来改变现状#引热议，和青羊君一起来看看怎样快速省钱，这里的5个快速存钱的小妙招，来帮助你节省下更多的钱。杭城头条的秒拍视频	0
