0	1	又 到 一年 下 雪季 一切 还是 老样子 可惜 家里 没有 红酒 了 这样 的 天气 我 其实 特别 想 喝点 红酒 来 庆祝 这场 雪 喝点 小酒 也 能 让 自己 晕晕乎乎 那种 感觉 简直 太棒了 石家庄	0
1	0	事实证明 越穷 越爱花 比如 我 自己	0
2	6	对于 肖战 来说 不同 阶段 听 《 未 完成 》 这 首歌 总有 不同 的 感悟 第一次 听 年少 的 肖战 对 即将 到来 的 青年时代 充满 了 憧憬 戳 视频 看看 肖战 90 后 歌单 跟 你 的 有 几首 重合 第一批 90 后 30 岁 倒计时 央视网 青年 的 秒 拍 视频	0
3	3	年轻人 该不该 延迟 享受 延迟 消费 偏好 下降 意味着 中国 人不爱 存钱 爱 花钱 了 90 后 正 成为 消费 主力军	0
4	0	我 觉得 我 的 财运 真的 有毒 投 什么 亏 什么 导致 我 真的 不会 理财 诶	0
5	0	有 孩子 有 家庭 了 会 自觉 考虑 这 一步 没 结婚 之前 我 是 没 这种 想法 只顾 自己 开心	0
6	0	【 男子 约 开黑 网友 见面 一 觉醒 来 发现 手机 和 钱 都 没 了 】 郑州 的 谷 先生 在 打游戏 的 时候 认识 了 网友 娄某 我俩 经常 一起 组队 配合 很 默契 聊得 很 投机 玩 的 时间 长 就 没事 想约 出来 聊聊 就 没有 想 那么 多 本想 通过 这次 见面 俩 人 也 能 成为 生活 中 的 好 朋友 没想到 这次 见面 让 谷 先生 朋友 没 做成 还 吃 了 个 哑巴亏 回到 酒店 睡 了 一觉 后 他 醒来 发现 不光 手机 丢 了 账户 里 的 钱 还 被 转 走 将近 三万 目前 娄某 已 被 刑拘 钱财 全部 追回 第一批 90 后 30 岁 倒计时 http t . cn Ai1qEizL	0
7	1	最后 小 刘 发现 兼职 家教 没存 到 一毛钱 真的 只是 刺激 了 我 的 消费 上限	0
8	0	恋爱 有时候 就 像是 一种 修行 有 的 人 很 幸运 能 从 一 开始 就 遇见 那个 可以 走 到 白头 的 人 但是 对于 大多数 的 我们 来讲 感情 中 更 多 的 是 失去 和 在 失去 中学 会 成长	0
9	116	第一批 90 后 30 岁 倒计时 90 后 每个 月 收入 多少 才 正常 看看 大家 晒 的 工资 你 的 工资 呢 感觉 我 给 大家 拖后腿 了	0
10	0	努力 就 对 了	0
11	557	30 岁 是 成家立业 的 年级 据说 90 后 都 变成 了 月光族 现在 的 你 有没有 存款 呢 第一批 90 后 30 岁 倒计时 抚州 发布 的 微博 投票	0
12	0	【 写 购物 清单 可以 省钱 快速 存钱 的 小 技巧 】 引热议 和 青羊 君一 起来 看看 怎样 快速 省钱 这里 的 个 快速 存钱 的 小妙 招 来 帮助 你 节省下 更 多 的 钱 杭城 头条 的 秒 拍 视频	0
13	0	首先 要 知道 每个 人 现实 不 一样 我 毕业 两份 工 2000 工资单 休 除了 被 剥削 更 多 的 我 要 用 物质 调节 我 的 生活 太难 了 其次 攒钱 只要 你 在 挣 ＞ 花 的 情况 下 实现 的 我刚 毕业 我 仅仅 只能 做到 在 买 东西 上面 不 依赖 父母 也 就是 经济 上 的 伪 独立 最后 我 想 说 好好 生活 放过 自己 如果 你 有 余力 补贴 家里 自己 攒钱 有钱 花钱 但是 对于 挣扎 在 温饱 的 年轻人 我 想 大概 年轻人 哪有 不 背债 的 话题 适合 我们	0
14	2	这 还是 要 看 的 攒 一千两千 也 是 攒 攒 几十万 也 是 攒钱 对于 有些 人 来说 几万 不过 一个包 但 对 那些 没 钱 攒钱 的 来说 就是 救命钱 没法 说到底 该不该 攒钱 每个 人 起点 都 不 一样	0
